ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes
902,Berlin Packaging,Printing / Signage / Packaging,Packaging Distributor,Chicago,IL,2000,$1B+,Order processing AI,$10K-$25K,Chief Technology Officer,www.berlinpackaging.com,4,Packaging supply chain
903,TricorBraun,Printing / Signage / Packaging,Packaging Solutions,St. Louis,MO,1500,$500M-$1B,Estimating AI,$8K-$20K,VP of Technology,www.tricorbraun.com,3,Rigid packaging distributor
904,Sonoco Products,Printing / Signage / Packaging,Industrial Packaging,Hartsville,SC,22000,$5B+,Quality control AI,$20K-$40K,CTO,www.sonoco.com,5,NYSE listed; diversified packaging
905,Pactiv Evergreen,Printing / Signage / Packaging,Food Packaging,Lake Forest,IL,14000,$5B+,Supply chain AI,$20K-$40K,Chief Technology Officer,www.pactivevergreen.com,4,NASDAQ; foodservice packaging
906,Berry Global,Printing / Signage / Packaging,Plastic Packaging,Evansville,IN,46000,$10B+,Quality control AI,$25K-$50K,CTO,www.berryglobal.com,5,NYSE listed; $14B revenue
907,Westrock,Printing / Signage / Packaging,Corrugated/Consumer,Atlanta,GA,44000,$10B+,Estimating AI,$25K-$50K,VP of Innovation,www.westrock.com,5,NYSE listed; now Smurfit Westrock
908,GPA (Graphic Packaging Alternative),Printing / Signage / Packaging,Specialty Print,Clearwater,FL,200,$25M-$50M,Order processing AI,$5K-$12K,Director of Operations,www.askgpa.com,2,Specialty print distributor
909,ColorDynamics,Printing / Signage / Packaging,Commercial Print,Allen,TX,100,$10M-$25M,Estimating AI,$5K-$10K,VP of Production,www.colordynamics.com,2,Texas commercial printer
910,Worth Higgins & Associates,Printing / Signage / Packaging,Commercial Print,Richmond,VA,100,$10M-$25M,Quality control AI,$5K-$10K,Director of Operations,www.worthhiggins.com,2,Richmond printer
911,Cenveo (now Ennis Inc),Printing / Signage / Packaging,Print/Forms,Midlothian,TX,4000,$500M-$1B,Order processing AI,$8K-$20K,Chief Technology Officer,www.ennis.com,3,NYSE listed; business forms
912,Multi Packaging Solutions,Printing / Signage / Packaging,Premium Packaging,New York,NY,6000,$500M-$1B,Quality control AI,$10K-$25K,VP of Technology,www.multipkg.com,3,Premium/specialty packaging
913,Meyers Printing,Printing / Signage / Packaging,Commercial Print,Minneapolis,MN,100,$10M-$25M,Estimating AI,$5K-$10K,Director of Production,www.meyers.com,2,Minnesota commercial printer
914,Shutterfly,Printing / Signage / Packaging,Consumer Print,San Jose,CA,5000,$1B+,Personalization AI,$10K-$25K,Chief Technology Officer,www.shutterfly.com,4,Consumer photo printing
915,MOO,Printing / Signage / Packaging,Premium Print,London,UK,500,$100M-$200M,Order processing AI,$5K-$15K,CTO,www.moo.com,3,US operations; premium cards
916,PrintingForLess,Printing / Signage / Packaging,Online Commercial,Livingston,MT,100,$10M-$25M,Estimating AI,$5K-$10K,Director of Technology,www.printingforless.com,2,Online commercial printing
917,4Over,Printing / Signage / Packaging,Trade Printing,Los Angeles,CA,1000,$100M-$200M,Order processing AI,$5K-$15K,VP of Technology,www.4over.com,3,Wholesale trade printer
918,Mimeo,Printing / Signage / Packaging,Cloud Printing,New York,NY,200,$25M-$50M,Order automation AI,$5K-$12K,CTO,www.mimeo.com,3,Cloud-based print solutions
919,StickerGiant,Printing / Signage / Packaging,Custom Labels,Longmont,CO,100,$10M-$25M,Order processing AI,$5K-$10K,Director of Operations,www.stickergiant.com,2,Custom sticker/label printing
920,PFL (Printing for Less),Printing / Signage / Packaging,Direct Mail/Print,Livingston,MT,200,$25M-$50M,Campaign automation AI,$5K-$15K,VP of Technology,www.pfl.com,3,Tactile marketing automation
921,American Red Cross,Nonprofits / Associations,Humanitarian,Washington,DC,20000,$1B+,Donor management AI,$15K-$30K,Chief Information Officer,www.redcross.org,5,Disaster relief; 300+ chapters
922,United Way Worldwide,Nonprofits / Associations,Community,Alexandria,VA,8000,$1B+,Grant writing AI,$10K-$25K,VP of Technology,www.unitedway.org,5,1800+ local organizations
923,Habitat for Humanity,Nonprofits / Associations,Housing,Atlanta,GA,2000,$500M-$1B,Donor management AI,$10K-$25K,Chief Technology Officer,www.habitat.org,4,70+ countries
924,Salvation Army,Nonprofits / Associations,Social Services,Alexandria,VA,60000,$5B+,Event automation AI,$20K-$40K,CIO,www.salvationarmyusa.org,5,7600+ centers in US
925,Goodwill Industries,Nonprofits / Associations,Workforce Dev,Rockville,MD,120000,$5B+,Donor management AI,$20K-$40K,Chief Technology Officer,www.goodwill.org,5,3300+ stores
926,Boys & Girls Clubs,Nonprofits / Associations,Youth,Atlanta,GA,50000,$1B+,Event automation AI,$10K-$25K,VP of Technology,www.bgca.org,4,4700+ clubs
927,Feeding America,Nonprofits / Associations,Hunger Relief,Chicago,IL,2000,$1B+,Donor management AI,$10K-$25K,CTO,www.feedingamerica.org,4,200 food banks
928,YMCA of the USA,Nonprofits / Associations,Community,Chicago,IL,60000,$5B+,Member engagement AI,$20K-$40K,Chief Technology Officer,www.ymca.org,5,2700+ locations
929,National Association of Realtors,Nonprofits / Associations,Trade Association,Chicago,IL,1000,$200M-$500M,Member engagement AI,$10K-$25K,CTO,www.nar.realtor,4,1.5M+ members; largest trade assn
930,American Medical Association,Nonprofits / Associations,Professional Assn,Chicago,IL,1200,$500M-$1B,Grant writing AI,$10K-$25K,VP of Technology,www.ama-assn.org,4,270K+ physician members
931,American Bar Association,Nonprofits / Associations,Professional Assn,Chicago,IL,1000,$200M-$500M,Event automation AI,$8K-$20K,Director of IT,www.americanbar.org,3,400K+ members
932,IEEE,Nonprofits / Associations,Professional Assn,Piscataway,NJ,2000,$500M-$1B,Member engagement AI,$10K-$25K,Chief Technology Officer,www.ieee.org,4,400K+ members; engineering
933,American Chemical Society,Nonprofits / Associations,Professional Assn,Washington,DC,2000,$500M-$1B,Content management AI,$10K-$25K,CTO,www.acs.org,4,155K+ members
934,National Association of Manufacturers,Nonprofits / Associations,Trade Association,Washington,DC,500,$50M-$100M,Event automation AI,$8K-$15K,Director of IT,www.nam.org,3,14K+ member companies
935,US Chamber of Commerce,Nonprofits / Associations,Business Association,Washington,DC,1500,$200M-$500M,Member engagement AI,$10K-$25K,VP of Technology,www.uschamber.com,4,3M+ businesses represented
936,AARP,Nonprofits / Associations,Advocacy/Membership,Washington,DC,2500,$1B+,Member engagement AI,$15K-$30K,Chief Technology Officer,www.aarp.org,5,38M+ members
937,American Cancer Society,Nonprofits / Associations,Health,Atlanta,GA,5000,$500M-$1B,Donor management AI,$10K-$25K,CTO,www.cancer.org,4,Leading cancer research nonprofit
938,American Heart Association,Nonprofits / Associations,Health,Dallas,TX,3500,$500M-$1B,Grant writing AI,$10K-$25K,VP of Technology,www.heart.org,4,Heart health research/advocacy
939,St. Jude Childrens Research,Nonprofits / Associations,Healthcare,Memphis,TN,5000,$1B+,Donor engagement AI,$15K-$30K,Chief Technology Officer,www.stjude.org,5,Leading pediatric research
940,Susan G. Komen,Nonprofits / Associations,Health,Dallas,TX,400,$100M-$200M,Donor management AI,$5K-$15K,Director of IT,www.komen.org,3,Breast cancer research
941,World Wildlife Fund,Nonprofits / Associations,Environment,Washington,DC,3000,$200M-$500M,Donor engagement AI,$8K-$20K,VP of Technology,www.worldwildlife.org,4,100+ countries
942,Nature Conservancy,Nonprofits / Associations,Environment,Arlington,VA,4000,$1B+,Grant writing AI,$10K-$25K,Chief Technology Officer,www.nature.org,5,79 countries; largest conservation
943,Sierra Club,Nonprofits / Associations,Environment,Oakland,CA,700,$100M-$200M,Member engagement AI,$5K-$15K,Director of Technology,www.sierraclub.org,3,3.8M members + supporters
944,Planned Parenthood,Nonprofits / Associations,Healthcare,New York,NY,12000,$1B+,Event automation AI,$10K-$25K,CTO,www.plannedparenthood.org,4,600+ health centers
945,March of Dimes,Nonprofits / Associations,Health,Arlington,VA,800,$100M-$200M,Donor management AI,$5K-$15K,VP of Technology,www.marchofdimes.org,3,Maternal/infant health
946,Special Olympics,Nonprofits / Associations,Sports/Disability,Washington,DC,500,$200M-$500M,Event automation AI,$8K-$15K,Director of IT,www.specialolympics.org,3,5.5M athletes; 170 countries
947,ASAE,Nonprofits / Associations,Association Management,Washington,DC,200,$25M-$50M,Member engagement AI,$5K-$15K,VP of Technology,www.asaecenter.org,3,21K+ association execs
948,PhRMA,Nonprofits / Associations,Trade Association,Washington,DC,300,$200M-$500M,Content management AI,$8K-$20K,Director of IT,www.phrma.org,3,Pharmaceutical industry advocacy
949,American Hospital Association,Nonprofits / Associations,Trade Association,Chicago,IL,500,$100M-$200M,Event automation AI,$8K-$15K,VP of Technology,www.aha.org,3,5K+ member hospitals
950,National Education Association,Nonprofits / Associations,Labor/Professional,Washington,DC,600,$200M-$500M,Member engagement AI,$8K-$20K,Chief Technology Officer,www.nea.org,4,3M+ members; largest union
951,Make-A-Wish Foundation,Nonprofits / Associations,Children,Phoenix,AZ,2000,$200M-$500M,Donor management AI,$8K-$15K,Director of IT,www.wish.org,3,60+ chapters
952,Doctors Without Borders,Nonprofits / Associations,Healthcare,New York,NY,2000,$500M-$1B,Grant writing AI,$8K-$20K,VP of Technology,www.msf.org,4,70+ countries
953,Direct Relief,Nonprofits / Associations,Healthcare/Disaster,Santa Barbara,CA,150,$500M-$1B,Donor management AI,$5K-$15K,Director of IT,www.directrelief.org,3,Medical aid nonprofit
954,Big Brothers Big Sisters,Nonprofits / Associations,Youth Mentoring,Tampa,FL,1200,$100M-$200M,Match AI,$5K-$15K,VP of Technology,www.bbbs.org,3,230+ affiliates
955,Girl Scouts of the USA,Nonprofits / Associations,Youth,New York,NY,9000,$500M-$1B,Event automation AI,$10K-$20K,Chief Technology Officer,www.girlscouts.org,4,1.7M+ members
956,Boy Scouts of America,Nonprofits / Associations,Youth,Irving,TX,8000,$500M-$1B,Member engagement AI,$10K-$20K,CTO,www.scouting.org,4,Now Scouting America
957,American Diabetes Association,Nonprofits / Associations,Health,Arlington,VA,800,$200M-$500M,Donor management AI,$5K-$15K,Director of Technology,www.diabetes.org,3,Diabetes research/advocacy
958,Catholic Charities USA,Nonprofits / Associations,Social Services,Alexandria,VA,50000,$1B+,Grant writing AI,$10K-$25K,VP of Technology,www.catholiccharitiesusa.org,4,160 agencies
959,Wounded Warrior Project,Nonprofits / Associations,Veterans,Jacksonville,FL,600,$200M-$500M,Donor engagement AI,$5K-$15K,Chief Technology Officer,www.woundedwarriorproject.org,3,Veteran services
960,Teach for America,Nonprofits / Associations,Education,New York,NY,1000,$200M-$500M,Grant writing AI,$5K-$15K,VP of Technology,www.teachforamerica.org,3,Education equity; 50+ regions
961,Amwell,Telehealth / Digital Health,Telehealth Platform,Boston,MA,1500,$200M-$500M,Patient triage AI,$15K-$30K,Chief Technology Officer,www.amwell.com,4,NYSE listed; $254M revenue
962,Doximity,Telehealth / Digital Health,Physician Platform,San Francisco,CA,900,$200M-$500M,Scheduling AI,$15K-$30K,CTO,www.doximity.com,4,NYSE listed; 80% of US MDs
963,Zocdoc,Telehealth / Digital Health,Appointment Platform,New York,NY,600,$200M-$500M,Follow-up automation AI,$10K-$25K,Chief Technology Officer,www.zocdoc.com,4,Patient booking marketplace
964,Cerebral,Telehealth / Digital Health,Mental Health,San Francisco,CA,1500,$200M-$500M,Patient triage AI,$10K-$25K,CTO,www.cerebral.com,4,$462M raised; anxiety/depression
965,SteadyMD,Telehealth / Digital Health,B2B Telehealth,St. Louis,MO,500,$50M-$100M,Clinical workflow AI,$10K-$20K,Chief Technology Officer,www.steadymd.com,3,200K+ monthly visits; white-label
966,Maven Clinic,Telehealth / Digital Health,Womens Health,New York,NY,500,$100M-$200M,Patient engagement AI,$10K-$25K,CTO,www.mavenclinic.com,4,Fertility to menopause
967,Ro (Roman/Rory),Telehealth / Digital Health,DTC Telehealth,New York,NY,1000,$200M-$500M,Patient triage AI,$10K-$25K,Chief Technology Officer,www.ro.co,4,DTC health platform
968,Nurx,Telehealth / Digital Health,Reproductive Health,San Francisco,CA,300,$50M-$100M,Prescription AI,$5K-$15K,CTO,www.nurx.com,3,DTC reproductive health
969,Ginger (Headspace Health),Telehealth / Digital Health,Mental Health,San Francisco,CA,800,$100M-$200M,Patient triage AI,$8K-$20K,Chief Technology Officer,www.headspacehealth.com,4,Merged with Headspace
970,Talkspace,Telehealth / Digital Health,Mental Health,New York,NY,600,$100M-$200M,Therapist matching AI,$8K-$20K,CTO,www.talkspace.com,3,NASDAQ listed; online therapy
971,BetterHelp,Telehealth / Digital Health,Mental Health,Mountain View,CA,2000,$500M-$1B,Therapist matching AI,$15K-$30K,Chief Technology Officer,www.betterhelp.com,4,Largest online therapy platform
972,Teladoc Health,Telehealth / Digital Health,Telehealth Platform,Purchase,NY,5000,$1B+,Patient triage AI,$20K-$40K,CTO,www.teladochealth.com,5,NYSE listed; $2.6B revenue
973,MDLive (Evernorth),Telehealth / Digital Health,Telehealth,Sunrise,FL,800,$200M-$500M,Scheduling AI,$10K-$20K,VP of Technology,www.mdlive.com,3,Cigna/Evernorth subsidiary
974,Doctor On Demand (Included Health),Telehealth / Digital Health,Telehealth,San Francisco,CA,500,$100M-$200M,Patient triage AI,$8K-$20K,Chief Technology Officer,www.includedhealth.com,3,Now Included Health
975,Kaia Health,Telehealth / Digital Health,MSK Digital,New York,NY,200,$50M-$100M,AI-guided therapy,$8K-$15K,CTO,www.kaiahealth.com,3,560K+ participants; MSK/COPD
976,DocGo,Telehealth / Digital Health,Mobile Health,New York,NY,5000,$200M-$500M,Patient scheduling AI,$10K-$25K,Chief Technology Officer,www.docgo.com,4,NASDAQ listed; 1K vehicles
977,Isaac Health,Telehealth / Digital Health,Brain Health,New York,NY,100,$10M-$25M,Follow-up automation AI,$5K-$12K,CTO,www.isaachealth.com,3,Virtual dementia care
978,Boulder Care,Telehealth / Digital Health,Addiction,Portland,OR,100,$10M-$25M,Patient triage AI,$5K-$12K,Chief Technology Officer,www.boulder.care,3,Telehealth addiction medicine
979,Virta Health,Telehealth / Digital Health,Diabetes Reversal,San Francisco,CA,500,$100M-$200M,Patient monitoring AI,$8K-$20K,CTO,www.virtahealth.com,4,Type 2 diabetes reversal
980,Omada Health,Telehealth / Digital Health,Chronic Care,San Francisco,CA,600,$100M-$200M,Patient engagement AI,$8K-$20K,Chief Technology Officer,www.omadahealth.com,4,Chronic disease management
981,Lyra Health,Telehealth / Digital Health,Mental Health,Burlingame,CA,1000,$200M-$500M,Therapist matching AI,$10K-$25K,CTO,www.lyrahealth.com,4,Employer mental health benefit
982,Spring Health,Telehealth / Digital Health,Mental Health,New York,NY,700,$100M-$200M,Treatment prediction AI,$8K-$20K,Chief Technology Officer,www.springhealth.com,4,Precision mental health
983,Cityblock Health,Telehealth / Digital Health,Medicaid Care,Brooklyn,NY,1000,$100M-$200M,Care coordination AI,$10K-$25K,CTO,www.cityblock.com,4,Value-based care for Medicaid
984,Hinge Health,Telehealth / Digital Health,MSK Digital,San Francisco,CA,1200,$200M-$500M,AI exercise therapy,$10K-$25K,Chief Technology Officer,www.hingehealth.com,4,Digital MSK clinic
985,Noom,Telehealth / Digital Health,Weight/Wellness,New York,NY,3000,$500M-$1B,Behavior change AI,$10K-$25K,CTO,www.noom.com,4,AI-powered weight management
986,98point6,Telehealth / Digital Health,AI Primary Care,Seattle,WA,300,$50M-$100M,AI clinical decision,$8K-$15K,Chief Technology Officer,www.98point6.com,3,AI-first text-based care
987,Akili Interactive,Telehealth / Digital Health,Digital Therapeutics,Boston,MA,100,$25M-$50M,Treatment AI,$5K-$15K,CTO,www.akiliinteractive.com,3,FDA-cleared video game therapy
988,Pear Therapeutics,Telehealth / Digital Health,Digital Therapeutics,Boston,MA,100,$10M-$25M,Treatment adherence AI,$5K-$12K,VP of Technology,www.peartherapeutics.com,2,Prescription digital therapeutics
989,Wheel,Telehealth / Digital Health,Clinician Network,Austin,TX,200,$25M-$50M,Clinician matching AI,$5K-$15K,Chief Technology Officer,www.wheel.com,3,Telehealth infrastructure
990,Truepill,Telehealth / Digital Health,Digital Pharmacy,Hayward,CA,400,$50M-$100M,Rx fulfillment AI,$8K-$15K,CTO,www.truepill.com,3,Digital pharmacy infrastructure
991,Alto Pharmacy,Telehealth / Digital Health,Digital Pharmacy,San Francisco,CA,500,$100M-$200M,Rx delivery AI,$8K-$20K,Chief Technology Officer,www.alto.com,3,Pharmacy delivery platform
992,Capsule Pharmacy,Telehealth / Digital Health,Digital Pharmacy,New York,NY,400,$50M-$100M,Rx management AI,$5K-$15K,CTO,www.capsule.com,3,NYC pharmacy delivery
993,Bright Health,Telehealth / Digital Health,Health Plan,Minneapolis,MN,1500,$1B+,Member engagement AI,$10K-$25K,Chief Technology Officer,www.brighthealthgroup.com,4,Technology-first health plan
994,Oscar Health,Telehealth / Digital Health,Health Plan,New York,NY,3000,$5B+,Member engagement AI,$15K-$30K,CTO,www.hioscar.com,5,NYSE listed; tech-first insurance
995,Clover Health,Telehealth / Digital Health,Medicare Advantage,Franklin,TN,700,$500M-$1B,Clinical AI assistant,$10K-$20K,Chief Technology Officer,www.cloverhealth.com,3,NASDAQ listed; Clover Assistant AI
996,Alignment Healthcare,Telehealth / Digital Health,Senior Care,Orange,CA,3000,$500M-$1B,Care coordination AI,$10K-$25K,CTO,www.alignmenthealthcare.com,4,NASDAQ listed; value-based
997,Dispatch Health,Telehealth / Digital Health,Mobile Health,Denver,CO,3000,$200M-$500M,Dispatch AI,$10K-$25K,Chief Technology Officer,www.dispatchhealth.com,4,In-home urgent care
998,Babylon Health,Telehealth / Digital Health,AI Health,Austin,TX,300,$25M-$50M,AI triage,$5K-$15K,CTO,www.babylonhealth.com,3,AI-powered health platform
999,K Health,Telehealth / Digital Health,AI Primary Care,New York,NY,300,$50M-$100M,AI symptom checker,$8K-$15K,Chief Technology Officer,www.khealth.com,3,AI-powered primary care
1000,Hims & Hers Health,Telehealth / Digital Health,DTC Telehealth,San Francisco,CA,2000,$1B+,Patient engagement AI,$15K-$30K,CTO,www.hims.com,5,NYSE listed; $1B+ revenue
